"","rgn_id","area_km2","SID"
"1085",10,4393,16507646
"1086",11,1119,16507646
"1087",1,105076,16509126
"1088",2,44235,16509126
"1089",3,33557,16509126
"1090",4,9984,16509126
"1091",1,105076,16509242
"1092",2,44235,16509242
"1093",3,33557,16509242
"1094",4,9984,16509242
"1095",1,52554,16509297
"1096",2,49938,16509297
"1097",3,59638,16509297
"1098",4,42218,16509297
"1099",5,1453,16509297
"1100",6,6675,16509297
"1101",7,3398,16509297
"1102",8,2675,16509297
"1103",9,180,16509297
"1104",10,4395,16509297
"1105",11,1119,16509297
"1106",1,199,16545072
"1107",2,3165,16545072
"1108",4,35428,16545072
"1109",5,1453,16545072
"1110",8,1745,16545072
"1111",10,4395,16545072
"1112",11,1119,16545072
"1113",1,195,16545086
"1114",4,6642,16545086
"1115",1,256,16545183
"1116",2,47645,16545183
"1117",3,53077,16545183
"1118",4,38213,16545183
"1119",5,1453,16545183
"1120",6,6675,16545183
"1121",7,3398,16545183
"1122",8,2675,16545183
"1123",9,180,16545183
"1124",10,4395,16545183
"1125",11,1119,16545183
"1126",1,73641,16545253
"1127",2,14212,16545253
"1128",3,87,16545253
"1129",4,42218,16545253
"1130",5,1453,16545253
"1131",7,264,16545253
"1132",8,2675,16545253
"1133",10,4395,16545253
"1134",11,1119,16545253
"1135",1,105282,16545256
"1136",2,49938,16545256
"1137",3,59638,16545256
"1138",4,42218,16545256
"1139",5,1453,16545256
"1140",6,6675,16545256
"1141",7,3398,16545256
"1142",8,2675,16545256
"1143",9,180,16545256
"1144",10,4395,16545256
"1145",11,1119,16545256
"1146",1,249,165611
"1147",2,47647,165611
"1148",3,51016,165611
"1149",4,38205,165611
"1150",5,1453,165611
"1151",6,6675,165611
"1152",7,3398,165611
"1153",8,2675,165611
"1154",9,180,165611
"1155",10,4395,165611
"1156",11,1119,165611
"1157",1,199,165695
"1158",2,3559,165695
"1159",3,859,165695
"1160",4,34119,165695
"1161",5,1453,165695
"1162",7,2537,165695
"1163",8,2551,165695
"1164",10,4395,165695
"1165",11,1119,165695
"1166",1,71,16750054
"1167",4,5879,16750054
"1168",1,199,16781113
"1169",2,5928,16781113
"1170",4,36073,16781113
"1171",5,1453,16781113
"1172",7,124,16781113
"1173",8,2634,16781113
"1174",10,4395,16781113
"1175",11,1119,16781113
"1176",1,249,16781124
"1177",2,47647,16781124
"1178",3,51016,16781124
"1179",4,38208,16781124
"1180",5,1453,16781124
"1181",6,6675,16781124
"1182",7,3398,16781124
