iucn_sid,sciname,population,category,common_name
60482248,Parabrotula plagiophthalma,NA,LC,False cusk
15147715,Alepocephalus agassizii,NA,LC,Agassiz' Slickhead
15147725,Alepocephalus australis,NA,LC,Small Scaled Brown Slickhead
15147740,Alepocephalus bairdii,NA,DD,Baird's Slickhead
18139074,Alepocephalus productus,NA,LC,Smalleye Smooth-head
15147816,Bajacalifornia megalops,NA,LC,Bigeye Smooth-head
15147965,Bathyprion danae,NA,LC,Fangtooth Smooth-head
190282,Bathytroctes macrolepis,NA,LC,Koefoed's Smooth-head
15147977,Bathytroctes michaelsarsi,NA,LC,Michael Sars Smooth-head
190265,Bathytroctes microlepis,NA,LC,Smallscale Smooth-head
57825241,Einara edentula,NA,LC,Toothless Smooth-head
15148742,Einara macrolepis,NA,LC,Loosescale Smooth-head
18140291,Narcetes stomias,NA,LC,Blackhead Salmon
190298,Photostylus pycnopterus,NA,LC,Starry Smooth-head
15149121,Rouleina attrita,NA,LC,Softskin Smooth-head
190264,Rouleina maderensis,NA,LC,Madeiran Smooth-head
190198,Talismania antillarum,NA,LC,Antillean Smooth-head
15149335,Xenodermichthys copei,NA,LC,Bluntsnout Smooth-head
16407217,Argentina striata,NA,LC,Striated Argentine
18140358,Bathylagichthys greyae,NA,LC,Grey's Deepsea Smelt
18140736,Dolicholagus longirostris,NA,LC,Longsnout Blacksmelt
